,id,name,stat,game.id,game.teams.school,game.teams.categories.name,game.teams.categories.types.name,season
0,189709,Trevor Vittatoe,14/29,303522638,UTEP,passing,C/ATT,2010
1,189708,James Thomas II,0/3,303522638,UTEP,passing,C/ATT,2010
2,189709,Trevor Vittatoe,245,303522638,UTEP,passing,YDS,2010
3,189708,James Thomas II,0,303522638,UTEP,passing,YDS,2010
4,189709,Trevor Vittatoe,8.4,303522638,UTEP,passing,AVG,2010
5,189708,James Thomas II,0.0,303522638,UTEP,passing,AVG,2010
6,189709,Trevor Vittatoe,3,303522638,UTEP,passing,TD,2010
7,189708,James Thomas II,0,303522638,UTEP,passing,TD,2010
8,189709,Trevor Vittatoe,3,303522638,UTEP,passing,INT,2010
9,189708,James Thomas II,0,303522638,UTEP,passing,INT,2010
10,189709,Trevor Vittatoe,6.5,303522638,UTEP,passing,QBR,2010
11,189708,James Thomas II,0.6,303522638,UTEP,passing,QBR,2010
12,237216,Joe Banyard,2,303522638,UTEP,rushing,CAR,2010
13,189708,James Thomas II,4,303522638,UTEP,rushing,CAR,2010
14,189682,Donald Buckram,6,303522638,UTEP,rushing,CAR,2010
15,483372,Leilyon Myers,1,303522638,UTEP,rushing,CAR,2010
16,483368,Marlon McClure,1,303522638,UTEP,rushing,CAR,2010
17,189709,Trevor Vittatoe,8,303522638,UTEP,rushing,CAR,2010
18,237216,Joe Banyard,11,303522638,UTEP,rushing,YDS,2010
19,189708,James Thomas II,10,303522638,UTEP,rushing,YDS,2010
20,189682,Donald Buckram,10,303522638,UTEP,rushing,YDS,2010
21,483372,Leilyon Myers,3,303522638,UTEP,rushing,YDS,2010
22,483368,Marlon McClure,-3,303522638,UTEP,rushing,YDS,2010
23,189709,Trevor Vittatoe,-43,303522638,UTEP,rushing,YDS,2010
24,237216,Joe Banyard,5.5,303522638,UTEP,rushing,AVG,2010
25,189708,James Thomas II,2.5,303522638,UTEP,rushing,AVG,2010
26,189682,Donald Buckram,1.7,303522638,UTEP,rushing,AVG,2010
27,483372,Leilyon Myers,3.0,303522638,UTEP,rushing,AVG,2010
28,483368,Marlon McClure,-3.0,303522638,UTEP,rushing,AVG,2010
29,189709,Trevor Vittatoe,-5.4,303522638,UTEP,rushing,AVG,2010
30,237216,Joe Banyard,0,303522638,UTEP,rushing,TD,2010
31,189708,James Thomas II,0,303522638,UTEP,rushing,TD,2010
32,189682,Donald Buckram,0,303522638,UTEP,rushing,TD,2010
33,483372,Leilyon Myers,0,303522638,UTEP,rushing,TD,2010
