id,season,name,games,completions,attempts,pass_yds,pass_tds,statINT,statCAR,rush_yds,rush_tds,statFUM,team_statCAR,team_rush_yds,team_rush_tds
12047,2004,Jamien McCullum,1,1,1,42,0,0,0,0,0,0,0,0,0
13223,2015,Justin Johnson,14,0,0,0,0,0,0,0,0,0,0,0,0
15825,2004,Bo Scaife,10,0,0,0,0,0,0,0,1,0,51,303,4
16705,2005,Bristol Olomua,15,0,0,0,0,0,0,0,0,0,0,0,0
19707,2004,Korey Kirkpatrick,12,0,0,0,0,0,0,0,0,0,0,0,0
20847,2004,Jason White,13,255,390,3205,35,9,23,-56,0,0,463,2227,14
23243,2007,Curtis Hamilton,10,0,0,0,0,0,10,39,0,0,227,1085,9
26526,2007,Justin Allen,2,0,0,0,0,0,4,37,0,0,49,246,1
27200,2011,Michael Johnson,13,0,0,0,0,0,11,43,0,0,285,1164,11
27825,2005,David Smith,6,0,0,0,0,0,0,0,0,0,0,0,0
27967,2005,Cardan Alexander,0,0,0,0,0,0,0,0,0,0,0,0,0
28226,2007,Jason Jones,1,0,0,0,0,0,0,0,0,0,0,0,0
28326,2004,Stephen Cucci,7,0,0,0,0,0,0,0,0,0,0,0,0
29035,2004,Chris Jackson,8,0,0,0,0,0,4,-1,0,0,114,295,3
29649,2015,Jamaal Jackson,2,0,0,0,0,0,19,29,0,0,57,13,0
29691,2007,John Williamson,1,0,0,0,0,0,0,0,0,0,0,0,0
36262,2004,Chris Hale,5,0,0,0,0,0,0,0,0,0,0,0,0
100009,2015,Johnny Jackson,19,0,0,0,0,0,0,0,0,0,0,0,0
100104,2004,Andrew Walter,11,244,426,3150,30,9,58,-112,0,0,385,1284,6
100107,2004,Emmanuel Franklin,2,0,0,0,0,0,0,0,0,0,0,0,0
100169,2004,Luke Groth,1,0,0,0,0,0,0,0,0,0,0,0,0
100172,2004,Jonathan Evans,6,0,0,0,0,0,6,8,0,0,156,566,3
100178,2004,Khari Long,0,0,0,0,0,0,0,0,0,0,0,0,0
100179,2004,John Martin,1,0,0,0,0,0,0,0,0,0,0,0,0
100210,2004,Marques Roberts,9,0,0,0,0,0,0,0,0,0,0,0,0
100223,2004,Brock Berlin,12,195,348,2680,22,6,42,-53,0,0,389,1533,14
100241,2004,Travis Harris,1,0,0,0,0,0,0,0,0,0,0,0,0
100251,2004,Cory Bailey,1,0,0,0,0,0,0,0,0,0,0,0,0
100266,2004,Tavaris Capers,11,0,0,0,0,0,1,-8,0,0,30,53,1
100336,2004,Atari Bigby,1,0,0,0,0,0,0,0,0,0,0,0,0
100339,2004,Luther Huggins,11,0,0,0,0,0,0,0,0,0,0,0,0
100345,2004,Alex Haynes,9,0,0,0,0,0,215,854,5,0,356,949,7
100365,2004,Jovon Burkes,1,0,0,0,0,0,0,0,0,0,0,0,0
100407,2004,Jason Kukahiko,10,0,0,0,0,0,1,12,0,0,42,203,3
100410,2006,Zac Collie,20,0,0,0,0,0,0,0,0,0,0,0,0
100424,2004,Rodney Wilkerson,5,0,0,0,0,0,0,0,0,0,0,0,0
100431,2006,Brock Stratton,1,0,0,0,0,0,0,0,0,0,0,0,0
100439,2004,Matt Payne,2,1,2,12,1,0,1,20,0,0,38,173,0
100468,2004,Tony Stubbs,2,0,0,0,0,0,0,0,0,0,0,0,0
100476,2004,Austine Nwabuisi,8,0,0,0,0,0,25,98,3,0,181,448,5
100484,2004,Greg Tyree,1,0,0,0,0,0,0,0,0,0,0,0,0
100548,2004,David Bradley,1,0,0,0,0,0,1,4,0,0,36,72,0
100556,2004,Jermelle Lewis,4,0,0,0,0,0,57,200,1,0,122,255,5
100560,2004,Aaron Mickens,9,0,0,0,0,0,42,127,1,0,305,702,8
100562,2004,George Lewis,1,0,0,0,0,0,0,0,0,0,0,0,0
100568,2004,Tony Jackson,4,0,0,0,0,0,0,0,0,0,0,0,0
100570,2004,Warren Holloway,9,0,0,0,0,0,1,10,0,0,35,77,1
100577,2004,Nate Curry,10,0,0,0,0,0,0,0,0,0,0,0,0
100579,2004,Mark Logan,1,1,1,21,0,0,4,22,0,0,52,286,4
100587,2004,Jimmy Dixon,6,0,0,0,0,0,2,1,0,0,33,178,0
100610,2004,Darius Williams,5,0,0,0,0,0,0,0,0,0,0,0,0
100622,2004,Chris Rix,8,76,149,865,3,7,32,15,1,0,252,1061,10
100628,2004,Leroy Smith,2,0,0,0,0,0,0,0,0,0,0,0,0
100630,2004,Bryant McFadden,1,0,0,0,0,0,0,0,0,0,0,0,0
100692,2004,Marvin Ward,3,0,0,0,0,0,0,0,0,0,0,0,0
